Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
35728.0,18,13.0,3.0,3.0,13.0,2.0,0.0,F07
54918.0,19,17.0,0.0,0.0,17.0,2.0,0.0,F07
49643.0,7,5.0,1.0,2.0,4.0,2.0,0.0,F07
47739.0,26,12.0,0.0,1.0,11.0,2.0,0.0,F07
58381.0,21,8.0,0.0,0.0,8.0,2.0,0.0,F07
35108.0,5,3.0,1.0,1.0,3.0,2.0,0.0,F07
67417.0,10,15.0,0.0,0.0,15.0,2.0,0.0,F07
35743.0,27,14.0,1.0,1.0,14.0,2.0,0.0,F07
54910.0,20,9.0,0.0,0.0,9.0,2.0,0.0,F07
73295.0,11,13.0,0.0,0.0,13.0,2.0,0.0,F07
65793.0,9,15.0,0.0,1.0,14.0,2.0,0.0,F07
132779.0,17,16.0,0.0,0.0,16.0,2.0,1.0,F07
63030.0,8,11.0,0.0,0.0,11.0,2.0,1.0,F07
71453.0,15,11.0,0.0,0.0,11.0,2.0,1.0,F07
48421.0,5,5.0,1.0,1.0,5.0,2.0,1.0,F07
110764.0,11,14.0,0.0,0.0,14.0,2.0,1.0,F07
22248.0,6,6.0,0.0,0.0,6.0,2.0,1.0,F07
46461.0,3,12.0,0.0,0.0,12.0,2.0,1.0,F07
66395.0,4,14.0,1.0,2.0,13.0,2.0,1.0,F07
62765.0,9,13.0,0.0,0.0,13.0,2.0,1.0,F07
66230.0,19,8.0,0.0,0.0,8.0,2.0,1.0,F07
60438.0,2,13.0,0.0,0.0,13.0,2.0,1.0,F07
71307.0,18,13.0,1.0,1.0,13.0,2.0,1.0,F07
108231.0,14,20.0,1.0,1.0,20.0,2.0,1.0,F07
25707.0,7,4.0,0.0,0.0,4.0,2.0,1.0,F07
72307.0,20,43.0,2.0,3.0,42.0,2.0,2.0,F07
45980.0,26,11.0,0.0,0.0,11.0,2.0,2.0,F07
26390.0,27,8.0,0.0,1.0,7.0,2.0,2.0,F07
25274.0,34,8.0,0.0,0.0,8.0,2.0,2.0,F07
74466.0,12,4.0,0.0,0.0,4.0,2.0,2.0,F07
30973.0,33,4.0,0.0,1.0,3.0,2.0,2.0,F07
41291.0,36,5.0,0.0,0.0,5.0,2.0,2.0,F07
52853.0,13,8.0,0.0,0.0,8.0,2.0,2.0,F07
58411.0,19,16.0,0.0,0.0,16.0,2.0,2.0,F07
33347.0,38,8.0,0.0,1.0,7.0,2.0,2.0,F07
52259.0,29,9.0,0.0,1.0,8.0,2.0,2.0,F07
48528.0,22,5.0,0.0,0.0,5.0,2.0,2.0,F07
44684.0,21,3.0,0.0,0.0,3.0,2.0,2.0,F07
59352.0,17,16.0,0.0,0.0,16.0,2.0,2.0,F07
73671.0,30,26.0,0.0,0.0,26.0,2.0,2.0,F07
29089.0,31,5.0,0.0,1.0,4.0,2.0,2.0,F07
50206.0,28,11.0,0.0,0.0,11.0,2.0,2.0,F07
45781.0,35,16.0,0.0,1.0,15.0,2.0,2.0,F07
46008.0,23,10.0,0.0,0.0,10.0,2.0,2.0,F07
79350.0,14,32.0,1.0,2.0,31.0,2.0,2.0,F07
54539.0,7,7.0,0.0,0.0,7.0,2.0,2.0,F07
72729.0,5,9.0,0.0,0.0,9.0,2.0,2.0,F07
47773.0,16,10.0,0.0,0.0,10.0,2.0,2.0,F07
49491.0,26,5.0,2.0,4.0,3.0,2.0,3.0,F07
49357.0,12,20.0,1.0,1.0,20.0,2.0,3.0,F07
74389.0,27,27.0,1.0,1.0,27.0,2.0,3.0,F07
54860.0,37,15.0,0.0,0.0,15.0,2.0,3.0,F07
14670.0,16,1.0,4.0,4.0,1.0,2.0,3.0,F07
85728.0,21,24.0,0.0,2.0,22.0,2.0,3.0,F07
16518.0,11,1.0,0.0,0.0,1.0,2.0,3.0,F07
46654.0,25,5.0,1.0,2.0,4.0,2.0,3.0,F07
59104.0,40,14.0,0.0,0.0,14.0,2.0,3.0,F07
75436.0,38,10.0,0.0,0.0,10.0,2.0,3.0,F07
47610.0,29,10.0,0.0,0.0,10.0,2.0,3.0,F07
32213.0,35,10.0,2.0,3.0,9.0,2.0,3.0,F07
27615.0,20,1.0,0.0,0.0,1.0,2.0,3.0,F07
30002.0,18,8.0,0.0,0.0,8.0,2.0,3.0,F07
69599.0,15,26.0,1.0,1.0,26.0,2.0,3.0,F07
59213.0,43,11.0,0.0,0.0,11.0,2.0,3.0,F07
21635.0,10,11.0,0.0,0.0,11.0,2.0,3.0,F07
50717.0,31,14.0,0.0,0.0,14.0,2.0,3.0,F07
55170.0,39,11.0,0.0,0.0,11.0,2.0,3.0,F07
101253.0,34,11.0,0.0,0.0,11.0,2.0,3.0,F07
50285.0,14,14.0,0.0,0.0,14.0,2.0,3.0,F07
42927.0,33,6.0,0.0,0.0,6.0,2.0,3.0,F07
53763.0,36,9.0,0.0,0.0,9.0,2.0,3.0,F07
17969.0,36,1.0,0.0,0.0,1.0,2.0,4.0,F07
46149.0,37,5.0,4.0,5.0,4.0,2.0,4.0,F07
52032.0,28,35.0,3.0,5.0,33.0,2.0,4.0,F07
74455.0,34,12.0,0.0,0.0,12.0,2.0,4.0,F07
22864.0,51,15.0,3.0,5.0,13.0,2.0,4.0,F07
24823.0,43,11.0,0.0,0.0,11.0,2.0,4.0,F07
55762.0,29,24.0,1.0,3.0,22.0,2.0,4.0,F07
30884.0,19,4.0,0.0,1.0,3.0,2.0,4.0,F07
71964.0,15,10.0,0.0,0.0,10.0,2.0,4.0,F07
58886.0,25,14.0,0.0,0.0,14.0,2.0,4.0,F07
